,tic,gsector
1107231,HMTXF,35.0
436116,EQC.PD,60.0
1199227,LIFE,35.0
1268924,IVBK,25.0
3803464,CCNB,40.0
1999278,LEVL,40.0
3745583,ORRCF,15.0
3772258,SII,40.0
4366497,ENGGY,55.0
3058795,GRP.U,60.0
3229002,FSP,60.0
1120727,IRBL,20.0
1386537,MTCH,50.0
3074083,ADES,15.0
1318121,SNMSF,25.0
3003407,TFII.,20.0
2829138,BRKR,35.0
4325995,GELYY,25.0
3883131,ENCTF,15.0
2319747,IBIN,45.0
2097465,KFRC,20.0
1293680,LIN,15.0
781668,ADGS,20.0
2369643,SOLVY,15.0
3288898,DCP.PB,10.0
3342417,HBMD,40.0
3263163,DONFF,15.0
602737,SPWH,25.0
2559953,TRS.,15.0
2968217,BDSI,35.0
3488823,DAC,20.0
2501416,SMTS,15.0
4408042,LAM.,10.0
2951561,DECN,35.0
3495029,TRUX,40.0
3356151,WEIN,40.0
2311873,AGEEF.1,15.0
4189028,RMGN,45.0
4064555,EXMGF,15.0
1498921,ACBM,35.0
205057,PCRFY,25.0
1272938,AHPI,35.0
629906,GRWFF,40.0
1309369,COLB,40.0
2139152,FORD,25.0
2575409,GBLHF,15.0
403067,APYX,35.0
514973,NTP,60.0
3747633,FNRG,20.0
1363313,PGV.,45.0
4301132,SGTZY,10.0
1860503,ROKU,50.0
4012804,RMSL,35.0
3215904,DKAM,30.0
1295377,TMMI,45.0
3926092,GPRC,20.0
2267687,OSIS,45.0
1042242,KMPR,40.0
3674958,EPS.,10.0
3261216,CLUB,25.0
3413460,GLDMF,15.0
3279486,MSI.,20.0
1717172,AKO.B,30.0
57637,CAE.,20.0
951637,SRRTF,60.0
2794944,AVNE,10.0
2683607,TREX,20.0
2084465,EVOA,20.0
1328423,LTC,60.0
578756,NA.PR.G,40.0
3211819,BSSTF,40.0
1330377,EQS,40.0
1431988,XCT.,20.0
2055735,AMTB,40.0
4312639,SONVY,35.0
2157831,AKSY,35.0
3888027,PMT.PB,40.0
1068378,CFG,40.0
4170879,SEI.,10.0
3552358,ESSA,40.0
2205091,LIFZF,15.0
93114,APYI,35.0
177527,ENB.PR.V,10.0
3218336,HMZMF,15.0
3034877,BBDA,30.0
78693,CL,30.0
3353022,SLDGF,15.0
2359102,LLESY,60.0
4271308,ALGDF,15.0
873002,SMTOY,25.0
2055820,QUISF,45.0
529374,MFA.PB,40.0
444638,MHGU,25.0
4060878,ATOS,35.0
2463277,UNI.,25.0
2623365,IIBK,40.0
1530878,AMMA,50.0
1445993,WSTRF,10.0
431334,MMTC,20.0
204053,MMC,40.0
2510831,MSVB,40.0
3186797,BMXI.1,15.0
1304638,DYII,35.0
3019396,EIF.,20.0
3098669,NWLNF,15.0
2076747,UBID,25.0
4383988,MNTA,35.0
798072,QTS.PA,60.0
2496693,KLDX,15.0
3535927,AMYZF,15.0
2399332,GENX.,30.0
4164370,ZG,50.0
903977,EGRX,35.0
234095,ES,55.0
1608633,GAME.,50.0
1063384,MMSI,35.0
2308098,PSYTF,10.0
27976,AZZ,20.0
3415941,IICN,45.0
2104059,ERIE,40.0
3738132,POTG,15.0
1804692,ALRN,35.0
4261893,AIOCF,45.0
3802455,HEVI,10.0
3607508,FURA.,15.0
2937108,CHFN,40.0
2495301,AHP.,25.0
244937,BPET.1,30.0
