,tic,gsector
1391608,VNJA,25.0
2889819,CEO,10.0
888761,SDVKY,20.0
2381644,BRLAF,60.0
106588,DUK,55.0
4455578,AHI.H,35.0
1675738,SRG.,15.0
1325437,SMUUY,40.0
2793629,PXLW,45.0
2143169,VOYT,45.0
3005657,SUWN,35.0
4019828,AAGC,15.0
3508964,AER,20.0
787332,JASNQ,20.0
4050497,CCIHY,45.0
4099666,ZENYF,15.0
1804943,DOVA,35.0
224801,BAC.PK,40.0
1909888,SEND,45.0
650951,EMCI,40.0
571458,LDSCY,60.0
2534968,GGIFF,15.0
3315753,SUNW,20.0
1000828,LAS.A,30.0
2923246,AVCRF,35.0
3870968,ISDR,45.0
2743274,FAHLF,40.0
3821848,ANCB,40.0
1159350,CXV.,35.0
431585,EBIX,45.0
2766123,3VRCME,45.0
462723,AIN,20.0
392286,PDEX,35.0
3727574,A.,15.0
1764745,ROSEU,10.0
1088378,SNR,60.0
3795059,DL,25.0
1975850,TAL.,10.0
2517082,PNCKF,15.0
54366,BTY10,50.0
688566,BYN.,15.0
4316405,CMGGF,40.0
837001,MNBEY,20.0
1034787,CHAM,40.0
1605726,TRAK.,45.0
2286862,AUMN.,15.0
1694950,AEO,25.0
1712612,CIFAF,40.0
1225137,GKOS,35.0
4250376,ANKOF,15.0
2712381,LII,20.0
3539485,AVNW,45.0
4344527,KSRYY,30.0
2219565,ANCTF,30.0
2114728,KRFG,10.0
2583731,SOGFF,10.0
2961686,BKMNF,15.0
3129738,CVGI,20.0
2526055,LUM.,15.0
649637,DGII,45.0
3092432,GMP.PR.C,40.0
319894,SRCO,10.0
184673,KSU.P,20.0
1212678,PSB,60.0
4311910,IHLDY,20.0
1407347,NCMBF,15.0
1271690,EEP,10.0
4110963,RPXC,20.0
2757778,WSTM,45.0
3210970,CGYV,20.0
3350949,ASCC,30.0
752303,REXR.PA,60.0
3741480,CFX,20.0
175627,ENB.PR.B,10.0
2537727,IESCF,10.0
2930062,ERAO,10.0
121627,FNMAM,40.0
2994720,ICTV,25.0
4121415,SDTTU,10.0
2633746,RSYFF,45.0
3432193,WINMQ,50.0
4436665,ORC.A,10.0
674061,GAYGF,15.0
2269793,RDS.,15.0
163287,HBAN,40.0
3290182,CVX.,15.0
2141872,SFD.,10.0
302847,PSA.PB,60.0
2389412,SSNHZ,45.0
1192661,CDAY,45.0
3953092,FIBK,40.0
799414,PLSI,35.0
591391,TD.PR.Z,40.0
94369,EESO,25.0
2687959,EMPX.,15.0
2467070,GLKFF,10.0
226507,NATH,25.0
2050910,IMXI,45.0
158703,HD,25.0
4158196,RENN,25.0
1181297,ADRO,35.0
2457779,FQVLF,15.0
1205614,IVTY,35.0
816230,CPTA,40.0
3844013,UNGS,10.0
1053777,USDP,10.0
2685155,EXTR,45.0
2881136,PUXPF,15.0
4236750,PJX.,15.0
1779087,IRRZF,15.0
947518,CWB.,40.0
1033717,EYEG,35.0
607369,TSCRF,50.0
3401428,ESRI,15.0
2073855,THOR,35.0
1945652,HUD,25.0
2563483,CXB.,15.0
2525202,VRB.,15.0
4186745,MOJO,30.0
3652763,QGRSF,15.0
3133510,WLK,15.0
3535184,UEEC,35.0
1606846,YUMAQ,10.0
2390665,SCGPY,20.0
1025072,MZEIQ,35.0
4334376,CIG.C,55.0
2615637,MTZ.,10.0
2425607,WPM,15.0
185684,K,30.0
220959,BAC,40.0
2602498,WGO.,15.0
2316942,ALS.,15.0
3774296,SB.PB,20.0
83346,C.PL,40.0
411144,MRLA,35.0
1257634,CSWI,20.0
774071,USFD,30.0
3903087,REVO,25.0
2156800,PWVI,20.0
2289924,ELC.,40.0
162534,HBAYF,25.0
3926876,PXT.,10.0
2428123,CLKFF,40.0
2562477,SRYB,40.0
2497225,KDKGF,15.0
4422155,GLPEY,10.0
3212573,TLP,10.0
2606768,IPLY,50.0
3311907,PGD.,15.0
1810468,HAUP,45.0
1457582,NTLA,35.0
758236,DOC,60.0
808226,HRCR,30.0
1119221,ATCN,20.0
4411860,MDGSW,35.0
2771412,PBA,10.0
3022788,NNMIF,15.0
3944778,KGJI,25.0
2288626,ASRT,35.0
2807605,BOTJ,40.0
1849579,JAGX,35.0
4063244,CCARF,15.0
2312607,CORV.,35.0
2656435,PAA,10.0
212336,TIPS,15.0
2266418,NRC,35.0
2379634,NTDOY,50.0
458370,CFP.,15.0
73418,CPK,55.0
1666535,SGMA,45.0
3320433,BGD.,15.0
3155352,MIC,20.0
2688477,UONE,50.0
2717010,PTE,35.0
2378664,ARZTY,30.0
1723470,TARO,35.0
305106,STI,40.0
4167804,ZXAIY,25.0
964020,GSC.,15.0
2685406,HGTXU,10.0
3842758,CPQQ,20.0
2537662,BRO.,15.0
4134092,RTAS,50.0
2831226,RTIX,35.0
2439524,CTDH,35.0
2342662,BRDCY,25.0
255048,PEI.PB,60.0
342555,VOLT,20.0
1209415,TEHG,45.0
2797520,CBV.,10.0
1881994,SPRO,35.0
4072685,RNSGF,15.0
3002650,PML.,15.0
2190131,ARQL,35.0
3871725,ENRJ,10.0
3553870,UECN,15.0
2554954,SLMZF,15.0
2549249,SBB.,15.0
3078936,GTXI,35.0
736226,ATBHF,15.0
2430645,XLEFF,10.0
850538,OVBC,40.0
2144926,FRCEF,15.0
1141737,KEN,55.0
942921,NERV,35.0
176380,ENB.PR.H,10.0
2385145,HXGBY,45.0
2992964,CLTH,10.0
2070393,ORTX,35.0
1843014,ALPN,35.0
22484,ARW,45.0
2568398,TNR.,15.0
3765548,RKHNF,15.0
2046218,TBLT,25.0
1703733,ADVZF,15.0
3149123,KBPH,40.0
527860,TCL.A,20.0
1790026,GPTX,45.0
2975962,ITNM,20.0
98524,DVLN,40.0
304604,RGR,25.0
887486,GCI,50.0
1847693,RETO,15.0
3429778,LMAT,35.0
662235,ICNVQ,30.0
878621,FTAI,20.0
290990,SODI,45.0
2632482,MHREF,15.0
3283526,MPHMF,35.0
1860001,HAIR,35.0
3847613,ABTI,30.0
3817311,SNWV,35.0
4260034,DYNA,55.0
2498264,AFMJF,15.0
1139630,APMFF,15.0
3435605,GSL.PB,20.0
1503981,PEXZF,15.0
4009384,WKM.,15.0
1421183,FIRZF,15.0
2070267,CURLF,35.0
2132764,VCTY,25.0
4226357,VHUB,30.0
3624570,XCRP,35.0
2531148,PBM.,15.0
1580410,LGF.A,50.0
3263414,SFX.,15.0
1538284,DESTQ,25.0
1484380,MGXMF,15.0
824761,CUEN,50.0
1564311,HWM,20.0
4457335,WHGLY,30.0
3434430,GTS,35.0
1522379,CREE,45.0
356155,WOR,15.0
983275,PFB.,20.0
1252040,RPD,45.0
3534536,ALXXF,25.0
3799626,TMAK,40.0
971332,MRNS,35.0
469807,HLF,30.0
567851,BNS.PY,40.0
2230246,IVANF,10.0
2302137,SRII,25.0
1627791,PAT.,20.0
1121480,RSTRF,25.0
1602653,HNFSA,30.0
566318,CM.PR.R,40.0
761499,FDBC,40.0
2579234,VCI.,15.0
2728262,ATGN,45.0
2524449,NWYF,40.0
3761391,AGNC,40.0
1940252,PFRCF,35.0
2432789,IOG.,10.0
525848,CPE.PA,10.0
46812,BAM.PR.C,40.0
2068258,GTR.,15.0
1164260,GEN,35.0
1351064,EMPR,10.0
160777,HOVVB,25.0
3111430,BCSO,40.0
193499,LM,40.0
221210,BAC.PD,40.0
3158206,BUUZ,60.0
2405626,AUN.1,15.0
2512115,SVGAF,15.0
639951,PRLX,35.0
4302,BKTI,45.0
3226086,WDLF,50.0
627857,GWLOF,40.0
558380,BKEAY,40.0
3341413,BGRP,25.0
4167551,KNBA,25.0
253291,PAYX,45.0
316871,TMO,35.0
3609776,VONE.,15.0
2454420,FNCJF,15.0
1165827,KRKNF,45.0
2893105,NOPUF,15.0
753558,INTV,45.0
963518,HCG.,40.0
4263524,AACTF,45.0
2192179,NOV,10.0
3471036,TAOP,45.0
3033120,HWSY,45.0
557416,HSEA,40.0
3230755,ADLS,35.0
2066950,GBOKF,35.0
239520,WFC.PY,40.0
144440,GRC,20.0
2172273,CIWV,40.0
184065,KCLI,40.0
580099,RY.PR.A,40.0
2889567,TXDSF,45.0
2066961,GTMS.,35.0
1036544,CLSI,45.0
365157,JKHY,45.0
3527989,ECR.,15.0
3449827,BKUCF,10.0
966781,IVX.,20.0
75928,CTAS,20.0
2919139,INOTF,45.0
1061634,RCBC,40.0
3569956,EXGYF,10.0
756981,GULTU,10.0
1176388,TGE,10.0
2547339,RYSMF,15.0
92612,CRD.B,40.0
2501918,ROGFF,15.0
3794306,BNKPF,10.0
4232602,GNC.,15.0
3962361,BGMZF,15.0
895820,NLTX,35.0
585093,RY.PR.S,40.0
1995766,ZUO,45.0
1070900,WFE.PA,40.0
822619,MNAT,40.0
1019287,MBVXQ,35.0
3080192,HTH,40.0
3895071,SPRL,10.0
91106,GLW,45.0
465439,SAN.PC,40.0
3561785,MVPI,20.0
550580,SXCP,15.0
3815207,TRNX,15.0
2437950,TIDE,10.0
4164365,PEYTF,10.0
3054935,YLWWF,50.0
1921790,NMRK,60.0
2662321,KNOLF.,10.0
1058873,EMH.,35.0
773009,SC,40.0
154484,KHC,30.0
1618237,VREX,35.0
3052119,TLIF,35.0
4150424,PFLT,40.0
4434406,TRKNY,50.0
2488379,GSSRF,15.0
2179842,WGRP,20.0
4151679,AEC.,10.0
671858,WSFS,40.0
71393,JPM,40.0
1989276,EMC.,35.0
4459602,CNPPF,60.0
2444130,SA,15.0
469054,OMAGQ,60.0
3275929,SCCFF,15.0
77434,COKEB,30.0
4154475,ELLI,45.0
417096,EPGRQ,55.0
629404,GWO.PR.N,40.0
1764494,RGUS,20.0
586871,RSNAY,40.0
142683,GSK,35.0
2193688,ALLN,45.0
673082,WBS,40.0
3948378,FGC.,15.0
1802439,MRSN,35.0
100281,BIOQ,35.0
655384,CHCO,40.0
2664399,ASCBQ,30.0
1346575,TCO,60.0
287261,SCL.,10.0
398060,WACLY,25.0
519471,PHXCF,40.0
1007889,SRMX,50.0
4181384,FCB,40.0
982255,OBELF,10.0
1894951,VICI,60.0
3412004,HE.,10.0
112442,SORL,25.0
2530892,IBRC,45.0
1839500,WINRW,25.0
224393,BAC.PA,40.0
868233,MRS.,20.0
1677244,EXSO,20.0
2456468,ONV.H,10.0
2386651,AMKBY,20.0
45549,BWL.A,25.0
3091679,GMPXF,40.0
150719,HAS,25.0
3923101,ARR.PA,40.0
1313344,TWNKW,30.0
1260897,DC.WT,60.0
2805046,BEP.PR.E,55.0
3891538,PWCRF,15.0
395047,PMULF,60.0
2479531,ULUCF,15.0
421698,OCLG,35.0
169289,WGEI,20.0
3750800,KKR.PA,40.0
4319166,PKCOY,20.0
4085898,RCIT,50.0
863128,CQH,10.0
3307470,AKVA,10.0
570956,AED,40.0
3376843,SMM.,15.0
3643958,SBFM,35.0
1689807,AHGIF,35.0
918425,DNRG,20.0
2253326,GHL.,15.0
311096,TCKRF,15.0
2116237,HAHI,20.0
4292581,TYABY,40.0
149152,ASPT,20.0
1864158,BPMP,10.0
4327348,GASNY,55.0
2929811,DRAD,35.0
2454169,FTI.,20.0
579592,RY.,40.0
4406290,STA.,15.0
451989,MX.,15.0
3796565,AITG.1,20.0
4143681,SPLP.PA,20.0
855116,AMRK,40.0
3221796,SDTC,25.0
2789627,OCLR,45.0
2957099,BCBP,40.0
3850783,DHCPQ,40.0
3298271,UNO.H,10.0
269377,ASYS,45.0
619568,UNRDY,60.0
1786763,GLCO,60.0
4260787,CYBF,45.0
129903,USB,40.0
537238,FMCCG,40.0
4132138,CPKOF,15.0
2974199,LONCF,15.0
2559942,TRSFF,15.0
319643,TOFB,30.0
1074665,MRMD,20.0
1723972,GOOS,25.0
2438263,VYGVF,45.0
2531399,PRRZF.1,15.0
518679,ACE.H,20.0
2967209,ITM.,45.0
2136529,UNPA,40.0
4383737,CATM,45.0
26782,ABDR,25.0
1369800,SWRM,45.0
1075167,KWGBF,15.0
2642759,GIXEF,15.0
2512903,OCG.,15.0
2187444,HFBK,40.0
183357,KMI.PA,10.0
2394056,FEC.,10.0
271138,RES,10.0
2324139,WDR,40.0
606059,PUGE,45.0
4232853,PFND,35.0
30988,BPOPP,40.0
2113975,IVAC,45.0
264353,POWL,20.0
110434,EDUC,25.0
1268171,LMS.,15.0
2328999,INO,35.0
863309,PLPC,20.0
2250861,SYNT,45.0
819858,TCS,25.0
3857620,CSGH,15.0
1671723,ARTX,20.0
3631437,WBC,20.0
2545759,SGM.,15.0
798661,AXPQQ,20.0
3989126,ATH.,10.0
2630483,CCI,60.0
1616400,BKS,25.0
2861703,CLI.,55.0
3450078,BSK.,10.0
317624,THO,25.0
3506702,INCC,50.0
2505268,CCJMF,15.0
3344875,PTEFF,25.0
403318,UNIF,40.0
1335961,EMA.PR.C,55.0
2752972,ICABY,50.0
2929058,GME,25.0
3539987,HREEF,15.0
4224524,CSL.,15.0
4156941,CLRBW,35.0
1756747,DIMC,40.0
4398234,UCLQF,15.0
2827886,FCOB,40.0
2249439,HMNY,45.0
2681851,DVLY,25.0
671200,SIVB,40.0
4187749,IZEA,50.0
2682353,AUTO,50.0
335774,COWP,60.0
916439,GRUB,25.0
65163,STZ,30.0
368964,VLYWW,40.0
2413804,SRE.,15.0
4434908,SZEVY,55.0
778253,FUNC,40.0
3304934,LQRCF,15.0
3151888,KFN.P,40.0
3598630,STACF,15.0
2099724,FABP,40.0
2047346,GAXY,45.0
3094056,GBLX,35.0
2095234,WINT,35.0
3152920,ECRO,40.0
4240748,GLPH,35.0
1834382,URZ.,10.0
457766,SMEYF,45.0
2372910,JGCCY,20.0
1373314,ABTX,40.0
2280339,ECTE,35.0
2062784,SVMK,45.0
122380,FNMAL,40.0
36777,BCE.PR.R,50.0
2574135,SPRWF,35.0
1949839,TORC,35.0
2924787,SPOI,25.0
186186,KELYB,20.0
1324502,BR.,30.0
3886233,SPP.,25.0
1139935,WELX,45.0
76681,CLX,30.0
2073484,USWSW,10.0
3391021,MTST,35.0
3843260,BONZ,15.0
1248257,EZPW,40.0
1573064,AKR,60.0
412209,RGRX,35.0
2560457,CECBF,20.0
2057675,FLMNW,10.0
929585,RDFVF,15.0
3661987,HMTA,40.0
405870,PAC.,15.0
999531,SDURF,15.0
2450524,ERVFF,15.0
2187695,NCI,20.0
274656,RELL,45.0
1683993,LARK,40.0
3516275,ARR.H,15.0
408885,SCIE,35.0
3217668,EGLE,20.0
3017033,SPMI,25.0
4352795,AUOTY,45.0
2644751,YUII,30.0
3092934,SRC.PA,60.0
2560706,NTSFF,20.0
2416325,GIGA.,15.0
867879,CJ.,10.0
2553189,DVC.H,10.0
2537346,PNTV,35.0
2296265,AI.PB,40.0
3684003,APEI,25.0
3656592,NMNX,40.0
134763,FMNJ,15.0
2564311,TMCV,40.0
1138124,INOV,35.0
202546,MTW,20.0
3306794,GNOW,35.0
2944043,FOTB,40.0
4429720,COGNY,25.0
3449149,HRST,10.0
2405131,GSP.,15.0
2941282,VMCS,35.0
3472829,DFTC,45.0
4221753,ADGL,45.0
828727,DLNG.PB,10.0
4361853,SNMRY,55.0
4271339,ALG.,15.0
3250696,DISCK,50.0
1306394,LOOP,15.0
1720190,XPL,15.0
2429139,CMU.,60.0
2759359,ORNHQ,35.0
622686,BPO.PR.I,40.0
4018824,COR,60.0
1089884,SYNH,35.0
2094479,VMTG,20.0
2949548,CUTR,35.0
861873,REVB,40.0
570203,MDIBY,40.0
3236146,GTE.,10.0
3973122,RN.,15.0
2069093,VRRM,45.0
3259918,ENDGF,15.0
350629,WLBAQ,10.0
280322,PVCT,35.0
1528579,AGN.PA,35.0
3113721,ABR.PB,40.0
3813450,NSAV,25.0
1325936,AXDDF,15.0
2301876,LIBC,40.0
127400,RF.PB,40.0
1947641,MNLO.1,35.0
353139,JW.A,50.0
2406378,LECFF,10.0
1579238,GTYHW,45.0
4220236,DRG.UN,60.0
115685,ESCA,25.0
2491221,KC.,15.0
2648738,IXSBF,35.0
330303,UFI,25.0
1703819,ADZN.,15.0
2691249,CUF.UN,60.0
3108766,AX.PR.E,60.0
3498406,CNBV,40.0
2053516,DSVMF,15.0
208571,MCRAB,25.0
3308474,PBKOF,25.0
3734249,AYTU,35.0
6540,AGDY,25.0
2327989,CAPC,20.0
3814705,GHST,50.0
2623867,RBCAA,40.0
2646966,MERR,40.0
1285793,GNAL,20.0
3108765,AX.PR.U,60.0
2458334,FPX.,15.0
107843,DYSL,45.0
3626829,VRTU,45.0
2644766,PNXPF,40.0
2733414,BSQR,45.0
2426882,JGFCF,40.0
432602,CUK,25.0
126647,FTT.,20.0
1237805,CRVL,35.0
551350,TECH,35.0
4133128,MITT.PA,40.0
427835,MSOF,45.0
4026092,CALL,50.0
2547081,IMR.,15.0
4093945,SCIO,15.0
4045143,ROGI,10.0
2918518,CHE.UN,15.0
3469492,AAEEF,15.0
2418591,GULSF,15.0
2038418,TBRGU,45.0
3070041,MIFF,40.0
93365,OMF,40.0
810381,KAJMY,20.0
2177310,AWRE,45.0
4364740,ALFVY,20.0
253040,GDP,10.0
4158447,WBWBD,50.0
1196466,BOJA,25.0
3605751,AM.,15.0
596901,PUK,40.0
4459100,SOUHY,15.0
2268942,SPB.,55.0
4214004,ASPCF,35.0
4309651,KCDMY,30.0
2499743,PLYFF,15.0
2677971,EVCI,25.0
1736858,TRLFF,35.0
4000364,BVA.,15.0
1677746,TV,50.0
848503,NPSKY,20.0
191993,LMTI,20.0
2901685,ARYC,35.0
3429276,OPS.,35.0
3048648,ENF.,10.0
2441648,LMCNF,15.0
4346786,XBIO,35.0
2564060,TUF.,15.0
2722019,OMCM,35.0
1363815,MPVDF,15.0
2309855,TSBA,40.0
781016,AEXE,15.0
2898339,SEEK,50.0
3159461,CPYJ,10.0
10085,HON,20.0
1069645,VIVE,35.0
4383235,IVFH,30.0
1263437,ATNI,50.0
1759024,URGN,35.0
1634684,FWRD,20.0
177531,ENB.PR.Y,10.0
3404153,TMQ.,15.0
106839,DNB.1,20.0
3756834,ETZCF,15.0
2756020,CTNXF,15.0
1939021,HSSHF.,45.0
4248196,WDKA,30.0
709430,RRDMF,15.0
3588112,ATV,25.0
3231048,WPZ,10.0
475723,EDCI,25.0
2244002,RITT,45.0
482528,TA.PR.E,55.0
2317931,CARSP,40.0
105584,ASNA,25.0
351633,WN.PR.C,30.0
2040148,MYFW,40.0
1706591,CEGMF,15.0
1718678,JETMF,20.0
2728764,USNU,35.0
2282349,CTHR,25.0
1761455,MRRCF,35.0
4080479,DBLVF,15.0
4015063,GTCH,45.0
1002919,CANL,35.0
1304136,ZZZ.,25.0
2566712,ERBB,35.0
3393664,AIVN,15.0
1705076,SYPR,25.0
1929422,CNGT,20.0
646374,ATAX,40.0
3245107,COLFF,30.0
1635437,BPFH,40.0
2689237,SWIR,45.0
114932,EFX,20.0
3567383,IVAP,15.0
2651642,CHWWF,40.0
571207,AEG,40.0
3515250,CROOF,15.0
97004,WGIH,15.0
3540238,HRE.,15.0
4363987,SAPX,50.0
257309,PHIKQ,10.0
634617,3FRCHE,25.0
3675209,DNGDF,15.0
438375,CNMD,35.0
4348773,JPXGY,40.0
82205,CGBBW,40.0
3617611,SEP,10.0
952460,CXSNF,40.0
4404233,GLPG,35.0
2317448,PWR,20.0
3096912,AGO,40.0
4291828,SBKFF,40.0
952962,CCAOF,40.0
105082,DD,15.0
289875,SNA,20.0
3014205,OLCB,40.0
3637202,LULU,25.0
3615314,TLLYF,50.0
2446385,EWK.,20.0
2114226,NTAP,45.0
1021798,ABMC,35.0
1409628,HEBT,20.0
1286501,PPMD,35.0
2472459,GWSAF,15.0
1916104,LEVB.1,50.0
1991468,NBVA.,45.0
539246,FMCKP,40.0
2513655,MLYF,15.0
1233278,BTDG,50.0
1660453,KTNNF,15.0
2030131,CHRA,20.0
4231613,PRSS,25.0
3949763,UIBGF,40.0
3038249,KNBIF,35.0
4361022,AGLDF,15.0
1633241,NFX,10.0
710788,AMH.PF,60.0
2842704,ENPRF,55.0
688526,BYAGF,15.0
2867694,MOSY,45.0
580836,RY.PL,40.0
1188631,LNGB,25.0
94668,CFR.PA,40.0
4389486,AINV,40.0
3871721,VZIL,45.0
3184254,IFC.PR.A,40.0
3386894,PAOC,15.0
2493826,KLS.,20.0
793303,HBNC,40.0
509479,UTRX,45.0
1048016,OGI,35.0
4281055,ASHTY,20.0
3999611,GGA.,15.0
92110,CBRL,25.0
512965,MGPI,30.0
4258495,BKSLF,15.0
2766132,FULO,50.0
3093436,MEAOF,15.0
1610642,CS,40.0
3835984,LNE.H,10.0
2220981,UNVC,35.0
213369,SIEB,40.0
1858746,RYB,25.0
3143763,CPTRF,35.0
1772401,TSEM,45.0
2465350,DSCVF,15.0
1713114,FR,60.0
395800,HSTC,35.0
660836,INDB,40.0
1136618,MBCQ,40.0
1188380,BSM,10.0
2579754,HJI.,20.0
32494,GOLD,15.0
3834225,ONCS,35.0
4444089,GJNSY,40.0
3541493,PRTS,25.0
1100796,ATIS,35.0
461781,BDRXF,20.0
406372,CLGX,20.0
3826092,CCLP,10.0
439389,NHLDW,40.0
4451894,SUNYF,10.0
3497402,CHME,35.0
2969498,KBG.,15.0
599662,NLOK,45.0
3172868,MAW.,15.0
3426859,VALV,20.0
958812,SLMBP,40.0
3635896,BIOAF,35.0
2987293,SWP.,30.0
141428,GTY,60.0
2105569,ZCOM,15.0
3343485,RTNB,20.0
600415,LYG,40.0
3425595,WILD.,50.0
3081997,CMP,15.0
463729,FKWL,45.0
4073405,CXO.,15.0
1992515,ONE,25.0
2721450,MXGFF,55.0
2076692,WAVE.,35.0
4428708,MZOR,35.0
4380877,CIT.,15.0
738952,GFI,15.0
173159,IFFT,15.0
3292469,TTYGF,10.0
4317409,CLCGY,30.0
4296060,MITFY,20.0
3400477,PHOT,20.0
2689990,WNRP,40.0
1415176,GSM,15.0
140675,GNTX,25.0
2521619,NOSOF,15.0
972376,JADE.,15.0
2465642,GVC.,50.0
1227995,APPF,45.0
1832247,BKR,10.0
752554,REXR.PB,60.0
3052030,UABK,40.0
96748,DAIO,45.0
4223008,CHUY,25.0
732722,CHMG,40.0
379694,MSFT,45.0
2274825,LTSA,40.0
2905711,WLMS,20.0
1381873,VYGR,35.0
4377002,NTB,40.0
2721982,IFSC,45.0
429875,ASM.WT,15.0
4228671,HNTHF,10.0
1111007,CYFL,40.0
1268927,JBSS,30.0
978997,NEP,55.0
4459611,WKEY,45.0
2897134,INLA.,45.0
2986034,CKG.,15.0
894281,FECOF,10.0
2710871,BMRN,35.0
2607019,CNRD,20.0
2076788,MGON,35.0
3230558,WEB,45.0
1398443,RMR,60.0
1178285,XBIT,35.0
1580159,LINK,45.0
2362616,KOTMY,25.0
3511873,SGTI,35.0
70389,CMD,35.0
1695452,ADC,60.0
3341121,CROMF,60.0
1046358,CREXW,50.0
2117997,SQP.,20.0
4443323,GBTZY,60.0
792048,HONT,40.0
2017808,KNSA,35.0
2491979,NOC.H,15.0
2896465,OMCL,35.0
2411043,WRG.,10.0
1825603,SOLOW,25.0
1159472,SPSY,20.0
145193,GGG,20.0
982004,PGF.,10.0
65414,CAJ,45.0
1246718,TVTY,35.0
534226,AGM.PC,40.0
4172780,RCLF.,15.0
1259642,DDEJF,60.0
5808,AET,35.0
3871841,LVLV,45.0
270636,RCMT,20.0
3762768,SCYYF,15.0
4051,AHIX,25.0
3906505,GMER,50.0
911516,AHFCD,40.0
712620,TGRF,40.0
4358766,IMRN,35.0
3673954,EVX.,15.0
2205342,LIF.,15.0
396051,CYAN,30.0
2560204,LTXFF,45.0
1819962,DRI,25.0
1326689,OHI,60.0
3248939,LEAT,25.0
1194008,CHCT,60.0
1505168,LPPPF,20.0
3990912,SURE,15.0
3020651,SLIF,15.0
2308851,IPL.,10.0
3229755,RUTH,25.0
3183498,CNCM,50.0
4460184,WXXWY,35.0
2572780,CAF.,15.0
1335202,SFEG,15.0
401367,LVNVF,15.0
2125707,IRBS,35.0
926573,TMST,15.0
2427141,MTA,15.0
2691007,CMLEF,60.0
572732,PWF.PR.F,40.0
3699559,PNRC,10.0
2061271,KOD,35.0
199785,MDC,25.0
4329606,MGAWY,60.0
2611834,ECSL,35.0
3320431,TTEXF,15.0
3114296,RGDEF,10.0
3954349,NMX.,15.0
1803698,BHKLY,40.0
22233,ARCB,20.0
3519442,CDVIQ,10.0
3914269,IPCI.,35.0
541254,FMCKJ,40.0
131508,FHN,40.0
11304,AMLC,20.0
371943,APC,10.0
541900,DIR.UN,60.0
3801703,STRI,45.0
4347803,VEOEY,55.0
3247756,CTA.,10.0
209073,GENC,20.0
3559267,CRE.,15.0
3011922,AXTG,20.0
2294257,BRSE,50.0
1975549,PRPLW,25.0
3171613,MPW,60.0
93867,CRWS,25.0
2338819,AMCRY,15.0
1249355,ARIOQ,45.0
3237876,CJT.,20.0
3601038,SAFS,20.0
808728,AROSF,35.0
744435,NSTG,35.0
2461763,KIP.,15.0
1467613,BFST,40.0
464733,AMIVF,40.0
2051126,DAVA,45.0
2450022,EMPS,20.0
2197049,TISA,45.0
2976966,FPNUF,50.0
655886,CBU,40.0
3153171,WISH,40.0
222932,BML.PL,40.0
1995541,HLTRF,35.0
801966,PINC,35.0
2590468,MANH,45.0
1174874,KRNT,20.0
1135861,HMPQ,30.0
2811370,SXHHF,35.0
4381132,ALNY,35.0
2348435,MSBHY,20.0
3080443,AOVTF,15.0
1139379,PUBC,15.0
34251,BDX,35.0
3354896,UCUT,25.0
4429218,NZP.,15.0
3275678,CORR.PA,60.0
2731639,BTQNF,20.0
922274,TSLX,40.0
238265,WFC.PR,40.0
4185960,RGFR,10.0
3741731,FN,45.0
3209960,BSH.,10.0
2415378,CWVLF,10.0
2803730,VC,25.0
3701130,ACBI,40.0
2868819,FUSEF,15.0
3696970,LRN,25.0
871998,STCMA,25.0
2781134,SLF.PR.D,40.0
4201500,AMSE,10.0
3954851,JKS,45.0
3358519,GCR.,15.0
182085,JCI,20.0
4313141,GBOOY,40.0
3747965,SPCL,25.0
8548,ALX,60.0
3436531,EVR,40.0
2304487,RASGQ,60.0
4239204,SDI.,10.0
2438772,NWTT,15.0
491822,GSX.H,15.0
2624123,LEU,10.0
170795,DEWM,50.0
455001,HSE.PR.E,10.0
1068880,KSMRF,25.0
3060844,MEQYF,60.0
3027734,MTLCF,15.0
19566,NBR.PA,10.0
648382,BMTC,40.0
3145968,ENS,20.0
235873,NWN,55.0
2912204,PE.,15.0
1805194,BRLL,35.0
2742772,BTSC,40.0
2313232,WOAM,45.0
1033968,EYEGW,35.0
2077590,GRTD,30.0
149715,HKNI,10.0
4381948,FSRL,40.0
3180141,TGP.PA,10.0
3395723,ARRT,30.0
2622268,PCI.,15.0
2381895,BTLCY,60.0
3711562,VNP.,15.0
1076715,LHSIF,35.0
2887525,SY.,45.0
180579,AXE,45.0
850036,CESX,20.0
3712566,XXMMF,15.0
483281,ITIC,40.0
2303234,UNTN,40.0
3092181,GMP.PR.B,40.0
3470007,KHRIF,40.0
850287,BPSR,35.0
546340,WBK,40.0
68928,CTNR,10.0
2332621,IMIAY,20.0
3001070,PTTL,20.0
83597,C.PS,40.0
819356,PBPB,25.0
4445890,RDHL,35.0
193248,LEG,25.0
802719,RNG,45.0
3152418,ACC,60.0
731204,WIR.UN,60.0
1126231,MDVXW,35.0
4158698,EFRGF,15.0
1951921,ANVV,25.0
383212,XOMA,35.0
440418,ETEK,15.0
1081233,NAP,10.0
4134343,CANB,35.0
3666254,MAIN,40.0
449980,CIND,25.0
3271842,HNZ.,20.0
3051261,NVA.,10.0
3059297,TCHH,45.0
832794,FIIT,40.0
4307617,BDVSY,20.0
2383150,OMVKY,10.0
2272566,SNSGF,45.0
603490,QRHC,20.0
2536429,TWRFF,15.0
3496113,LFBCF,40.0
683205,CYNK,50.0
3624821,PWRMF,15.0
